conference,year,title,abstract,authors,paper_url,pdf_url,source
ICLR,2016,Multi-Scale Context Aggregation by Dilated Convolutions,,Fisher Yu; Vladlen Koltun,http://arxiv.org/abs/1511.07122,https://arxiv.org/pdf/1511.07122.pdf,iclr_archive
ICLR,2016,The Variational Fair Autoencoder,,Christos Louizos; Kevin Swersky; Yujia Li; Max Welling; Richard Zemel,http://arxiv.org/abs/1511.00830,https://arxiv.org/pdf/1511.00830.pdf,iclr_archive
ICLR,2016,A note on the evaluation of generative models,,Lucas Theis; Aäron van den Oord; Matthias Bethge,http://arxiv.org/abs/1511.01844,https://arxiv.org/pdf/1511.01844.pdf,iclr_archive
ICLR,2016,Learning to Diagnose with LSTM Recurrent Neural Networks,,Zachary Lipton; David Kale; Charles Elkan; Randall Wetzel,http://arxiv.org/abs/1511.03677,https://arxiv.org/pdf/1511.03677.pdf,iclr_archive
ICLR,2016,Prioritized Experience Replay,,Tom Schaul; John Quan; Ioannis Antonoglou; David Silver,http://arxiv.org/abs/1511.05952,https://arxiv.org/pdf/1511.05952.pdf,iclr_archive
ICLR,2016,Importance Weighted Autoencoders,,Yuri Burda; Ruslan Salakhutdinov; Roger Grosse,http://arxiv.org/abs/1509.00519,https://arxiv.org/pdf/1509.00519.pdf,iclr_archive
ICLR,2016,"Deep Compression: Compressing Deep Neural Networks with Pruning, Trained Quantization and Huffman Coding",,Song Han; Huizi Mao; Bill Dally,http://arxiv.org/abs/1510.00149,https://arxiv.org/pdf/1510.00149.pdf,iclr_archive
ICLR,2016,Variationally Auto-Encoded Deep Gaussian Processes,,Zhenwen Dai; Andreas Damianou; Javier Gonzalez; Neil Lawrence,http://arxiv.org/abs/1511.06455,https://arxiv.org/pdf/1511.06455.pdf,iclr_archive
ICLR,2016,Training Convolutional Neural Networks with Low-rank Filters for Efficient Image Classification,,Yani Ioannou; Duncan Robertson; Jamie Shotton; roberto Cipolla; Antonio Criminisi; Jamie Shotton,http://arxiv.org/abs/1511.06744,https://arxiv.org/pdf/1511.06744.pdf,iclr_archive
ICLR,2016,Neural Networks with Few Multiplications,,Zhouhan Lin; Matthieu Courbariaux; Roland Memisevic; Yoshua Bengio,http://arxiv.org/abs/1510.03009,https://arxiv.org/pdf/1510.03009.pdf,iclr_archive
